From	To
Q5EBL8	ENSG00000120509
Q76G19	ENSG00000067840
P00558	ENSG00000102144
P78562	ENSG00000102174
Q8IWS0	ENSG00000156531
Q9UPP1	ENSG00000172943
Q8N0Y7	ENSG00000226784
Q9Y5K3	ENSG00000102230
Q9UHG2	ENSG00000102109
P51805	ENSG00000130827
Q9ULL4	ENSG00000198753
Q8NG27	ENSG00000181191
P0C7M4	ENSG00000203989
Q9UPE1	ENSG00000184343
P08842	ENSG00000101846
Q99909	ENSG00000165584
Q9H320	ENSG00000182583
Q9H322	ENSG00000177504
Q9H321	ENSG00000205642
Q9NNX9	ENSG00000169059
P30518	ENSG00000126895
Q9UBK9	ENSG00000126756
Q15904	ENSG00000071553
Q99457	ENSG00000186310
O15294	ENSG00000147162
P09131	ENSG00000126903
O00264	ENSG00000101856
P21810	ENSG00000182492
Q9Y388	ENSG00000134597
Q5JT25	ENSG00000147127
Q7Z444	ENSG00000187682
P38159	ENSG00000147274
P51151	ENSG00000123595
Q8NHV9	ENSG00000101883
P27635	ENSG00000147403
Q5H9L4	ENSG00000102387
Q9HBM6	ENSG00000187325
Q96C24	ENSG00000102362
Q8TDW5	ENSG00000147041
P08247	ENSG00000102003
Q5JRV8	ENSG00000125355
Q8N5C8	ENSG00000157625
Q5QGS0	ENSG00000050030
Q9GZU5	ENSG00000188937
Q8WVV4	ENSG00000124429
Q14141	ENSG00000125354
O14668	ENSG00000130962
Q9BZD7	ENSG00000130032
Q9NVH6	ENSG00000185973
Q9UJV3	ENSG00000080561
Q5MJ10	ENSG00000268988
Q8N8U3	ENSG00000179300
Q6ZR62	ENSG00000187823
Q5HYW3	ENSG00000242732
Q9BWD3	ENSG00000203950
Q17RB0	ENSG00000212747
A6ZKI3	ENSG00000134590
Q8NET4	ENSG00000243978
Q15233	ENSG00000147140
Q6P4D5	ENSG00000156500
Q15120	ENSG00000067992
Q8WUT9	ENSG00000077713
O60880	ENSG00000183918
Q96B97	ENSG00000147010
Q8IW52	ENSG00000179542
Q9BQJ4	ENSG00000147027
A6NMA1	ENSG00000204025
Q9H2G4	ENSG00000184205
O60224	ENSG00000269791
O60224	ENSG00000268009
Q9UN30	ENSG00000047634
Q5H9E4	ENSG00000269743
Q9H2S6	ENSG00000000005
Q14683	ENSG00000072501
O75368	ENSG00000131171
O15344	ENSG00000101871
Q5JXX7	ENSG00000179363
Q5VSR9	ENSG00000203923
Q5MJ09	ENSG00000189252
Q5MJ08	ENSG00000189326
Q5MJ07	ENSG00000204363
P51571	ENSG00000180879
O60225	ENSG00000165583
Q9P289	ENSG00000134602
Q9Y3L5	ENSG00000123728
Q9NP90	ENSG00000123570
O75995	ENSG00000122122
Q9UN76	ENSG00000268104
Q99966	ENSG00000125931
Q13642	ENSG00000022267
P98173	ENSG00000071889
Q14CM0	ENSG00000169933
Q6NT46	ENSG00000189064
Q99714	ENSG00000072506
Q9UBF1	ENSG00000046774
Q8TD91	ENSG00000165509
Q9Y5V3	ENSG00000179222
Q9UNF1	ENSG00000102316
Q96JG8	ENSG00000187243
Q96JG8	ENSG00000154545
Q9HCI5	ENSG00000198934
Q8TD90	ENSG00000186675
Q9H213	ENSG00000187601
Q9H6Y5	ENSG00000269313
Q9H0U3	ENSG00000102158
Q9P127	ENSG00000102021
Q9NPA3	ENSG00000165175
O75638	ENSG00000126890
Q7Z2G1	ENSG00000123569
P23352	ENSG00000011201
Q6ZN16	ENSG00000180815
A0A0U1RR11	ENSG00000223591
Q9P291	ENSG00000126947
Q7L311	ENSG00000184867
O43320	ENSG00000196468
O14990	ENSG00000102055
Q6RI45	ENSG00000165288
Q8TCZ2	ENSG00000102181
P05141	ENSG00000005022
P12236	ENSG00000169100
Q15052	ENSG00000129675
Q92613	ENSG00000102221
Q8N239	ENSG00000185915
P46019	ENSG00000044446
O76039	ENSG00000008086
Q8TDV5	ENSG00000147262
Q496Y0	ENSG00000175556
Q9NP60	ENSG00000189108
P46020	ENSG00000067177
P16118	ENSG00000158571
Q8TE69	ENSG00000197620
