From	To
Q5EBL8	NP_057568.1
Q5EBL8	XP_011529275.1
Q5EBL8	XP_016885057.1
Q76G19	NP_001290441.1
Q76G19	NP_001290442.1
Q76G19	NP_001290443.1
Q76G19	NP_001290444.1
Q76G19	NP_001290445.1
Q76G19	NP_115901.2
P00558	NP_000282.1
P78562	NP_000435.3
P78562	NP_001269683.1
Q8IWS0	NP_001015877.1
Q8IWS0	NP_115711.2
Q8IWS0	NP_115834.1
Q9UPP1	NP_001171825.1
Q9UPP1	NP_001171826.1
Q9UPP1	NP_055922.1
Q9UPP1	XP_016884851.1
Q8N0Y7	NP_001025062.1
Q9Y5K3	NP_001156736.1
Q9Y5K3	NP_001156737.1
Q9Y5K3	NP_004836.2
Q9UHG2	NP_037403.1
P51805	NP_059984.3
Q9ULL4	NP_001156729.1
Q9ULL4	NP_005384.2
Q8NG27	NP_001027568.1
Q8NG27	NP_071763.2
Q8NG27	NP_660095.1
Q8NG27	XP_005262349.1
Q8NG27	XP_011529313.1
P0C7M4	NP_001093155.1
Q9UPE1	NP_001164231.1
Q9UPE1	NP_001164232.1
Q9UPE1	NP_055185.2
P08842	NP_000342.2
P08842	NP_001307679.1
P08842	NP_001307680.1
P08842	NP_001307681.1
P08842	NP_001307682.1
P08842	NP_001307683.1
Q99909	NP_066294.1
Q99909	XP_011542187.1
Q9H320	NP_038480.2
Q9H322	NP_057462.2
Q9H321	NP_001001888.3
Q9NNX9	NP_057463.2
P30518	NP_000045.1
P30518	NP_001139623.1
P30518	XP_006724891.1
Q9UBK9	NP_004173.1
Q9UBK9	NP_705582.1
Q15904	NP_001174.2
Q15904	XP_011529481.1
Q99457	NP_004529.2
O15294	NP_858058.1
O15294	NP_858059.1
O15294	XP_016885396.1
O15294	XP_016885397.1
P09131	NP_001135863.1
P09131	NP_001135864.1
P09131	NP_062822.1
P09131	XP_011529503.1
O00264	NP_001269550.1
O00264	NP_006658.1
P21810	NP_001702.1
P21810	XP_016885213.1
Q9Y388	NP_057108.2
Q5JT25	NP_001027898.2
Q5JT25	XP_016884977.1
Q7Z444	NP_853510.1
P38159	NP_001158275.1
P38159	NP_002130.2
P51151	NP_001182257.1
P51151	NP_004242.1
P51151	XP_016885453.1
Q8NHV9	NP_644811.1
P27635	NP_001243506.2
P27635	NP_001243509.2
P27635	NP_001290553.1
P27635	NP_001290554.1
P27635	NP_001290555.1
P27635	NP_006004.3
Q5H9L4	NP_001161946.1
Q5H9L4	NP_079161.3
Q9HBM6	NP_057059.2
Q96C24	NP_001123368.1
Q96C24	NP_001167539.1
Q96C24	NP_542775.2
Q96C24	XP_005262286.1
Q96C24	XP_011529370.1
Q96C24	XP_016885460.1
Q8TDW5	NP_001156806.1
Q8TDW5	NP_001156807.1
Q8TDW5	NP_620135.1
Q8TDW5	XP_011542303.1
Q8TDW5	XP_011542304.1
Q8TDW5	XP_016885461.1
Q8TDW5	XP_016885462.1
Q8TDW5	XP_016885463.1
P08247	NP_003170.1
Q5JRV8	NP_001098014.1
Q5JRV8	NP_001098015.1
Q5JRV8	NP_060408.3
Q8N5C8	NP_690000.3
Q8N5C8	XP_005274540.2
Q5QGS0	NP_001008537.1
Q9GZU5	NP_072089.1
Q9GZU5	XP_016885198.1
Q8WVV4	NP_001294869.1
Q8WVV4	NP_079197.3
Q14141	NP_055944.2
Q14141	NP_665798.1
Q14141	NP_665799.1
Q14141	NP_665801.1
Q14141	XP_006724813.1
O14668	NP_000941.1
O14668	NP_001135867.1
O14668	NP_001166957.1
O14668	NP_001166960.1
O14668	NP_001166961.1
Q9BZD7	NP_076987.3
Q9BZD7	XP_005274804.1
Q9BZD7	XP_011529499.1
Q9NVH6	NP_001171726.1
Q9NVH6	NP_060666.1
Q9UJV3	NP_036348.2
Q9UJV3	NP_438112.2
Q9UJV3	XP_005262119.1
Q9UJV3	XP_016884728.1
Q5MJ10	NP_001009615.1
Q8N8U3	NP_689907.1
Q6ZR62	NP_001004308.2
Q5HYW3	NP_001019626.1
Q9BWD3	NP_001071640.1
Q9BWD3	NP_001127793.1
Q17RB0	NP_001071641.1
A6ZKI3	NP_001071639.1
Q8NET4	NP_065820.1
Q8NET4	XP_011529300.1
Q8NET4	XP_011529301.1
Q8NET4	XP_016885183.1
Q8NET4	XP_016885184.1
Q15233	NP_001138880.1
Q15233	NP_001138881.1
Q15233	NP_001138882.1
Q15233	NP_031389.3
Q6P4D5	NP_001164250.1
Q6P4D5	NP_001164251.1
Q6P4D5	NP_001164252.1
Q6P4D5	NP_001164254.1
Q6P4D5	NP_620174.1
Q15120	NP_001135858.1
Q15120	NP_005382.1
Q8WUT9	NP_660348.2
O60880	NP_001108409.1
O60880	NP_002342.1
Q96B97	NP_001019837.1
Q96B97	NP_001171889.1
Q96B97	NP_114098.1
Q96B97	XP_016884958.1
Q8IW52	NP_001171678.1
Q8IW52	NP_001171679.1
Q8IW52	NP_775101.1
Q8IW52	XP_005262422.1
Q8IW52	XP_011529567.1
Q9BQJ4	NP_113630.1
A6NMA1	NP_001182505.1
A6NMA1	NP_001182506.1
A6NMA1	NP_001182507.1
A6NMA1	XP_011529140.1
Q9H2G4	NP_071400.1
O60224	NP_001030004.1
O60224	NP_001035702.1
O60224	NP_005627.1
O60224	NP_783856.1
O60224	XP_016885102.1
O60224	XP_016885248.1
Q9UN30	NP_001032624.1
Q9UN30	NP_001032625.1
Q9UN30	NP_001032629.1
Q9UN30	NP_006737.2
Q9UN30	XP_006724571.1
Q9UN30	XP_016885212.1
Q5H9E4	NP_001012773.2
Q5H9E4	XP_005262186.1
Q5H9E4	XP_011529254.1
Q5H9E4	XP_011529255.1
Q5H9E4	XP_016885005.1
Q9H2S6	NP_071427.2
Q14683	NP_006297.2
O75368	NP_003013.1
O15344	NP_000372.1
O15344	NP_001092094.1
O15344	NP_001180206.1
O15344	NP_001180207.1
O15344	NP_001180208.1
O15344	NP_001180209.1
O15344	NP_001180210.1
O15344	NP_001334662.1
O15344	NP_150632.1
O15344	XP_016885025.1
O15344	XP_016885029.1
Q5JXX7	NP_872347.2
Q5VSR9	NP_001009614.1
Q5MJ09	NP_001009609.2
Q5MJ08	NP_001009613.1
Q5MJ07	NP_001009616.1
P51571	NP_001191455.1
P51571	NP_006271.1
P51571	XP_011529488.1
P51571	XP_011529489.1
O60225	NP_066295.3
O60225	NP_783729.1
O60225	XP_011542251.1
O60225	XP_016885247.1
Q9P289	NP_001035917.1
Q9P289	NP_001035918.1
Q9P289	NP_057626.2
Q9Y3L5	NP_001258115.1
Q9Y3L5	NP_001258116.1
Q9Y3L5	NP_067006.3
Q9Y3L5	XP_011529678.1
Q9NP90	NP_057454.1
O75995	NP_061863.1
Q9UN76	NP_009162.1
Q5H9J9	NP_001264352.1
Q99966	NP_001138357.1
Q99966	NP_001138358.1
Q99966	NP_001138359.1
Q99966	NP_004134.2
Q99966	XP_011529260.1
Q13642	NP_001153171.1
Q13642	NP_001153172.1
Q13642	NP_001153173.1
