From	To
Q53TS8	NP_001161688.1
Q53TS8	NP_001161689.1
Q53TS8	NP_001161693.1
Q53TS8	NP_689738.3
Q53TS8	XP_011509038.1
Q53TQ3	NP_060229.3
Q53TQ3	XP_011509672.1
Q53TQ3	XP_011509673.1
Q53TQ3	XP_011509675.1
Q53TQ3	XP_011509677.1
Q53TQ3	XP_011509678.1
Q53RY4	NP_001161836.1
Q53RY4	NP_001308254.1
Q53RY4	NP_776252.2
P48059	NP_001180411.1
P48059	NP_001180412.1
P48059	NP_001180413.1
P48059	NP_001180414.1
P48059	NP_001180417.1
P48059	NP_004978.2
Q9Y316	NP_001131074.1
Q9Y316	NP_001288762.1
Q9Y316	NP_001288781.1
Q9Y316	NP_057039.1
Q9Y316	XP_011531194.1
Q9Y316	XP_016859744.1
Q9H825	NP_001308083.1
Q9H825	NP_001308084.1
Q9H825	NP_001308085.1
Q9H825	NP_001308086.1
Q9H825	NP_001308088.1
Q9H825	NP_001308089.1
Q9H825	NP_001308091.1
O15055	NP_073728.1
O15055	XP_005246168.1
O15055	XP_006712887.1
Q96FA3	NP_065702.2
Q96FA3	XP_011531296.1
Q96FA3	XP_016860009.1
Q75T13	NP_001308028.1
Q75T13	NP_001308029.1
Q75T13	NP_079265.2
Q75T13	XP_016860481.1
Q75T13	XP_016860482.1
Q9BY49	NP_060911.2
Q9BY49	XP_011509780.1
Q9HCR9	NP_001070664.1
Q9HCR9	NP_001070665.1
Q9HCR9	NP_001070826.1
Q9HCR9	NP_058649.3
Q9UHG3	NP_057381.3
P54750	NP_001003683.1
P54750	NP_001245242.1
P54750	NP_001245243.1
P54750	NP_005010.2
P54750	XP_016859784.1
P54750	XP_016859785.1
P54750	XP_016859786.1
P54750	XP_016859787.1
P54750	XP_016859788.1
P54750	XP_016859789.1
P54750	XP_016859790.1
P54750	XP_016859791.1
Q7Z2X4	NP_001094288.1
Q7Z2X4	NP_001317085.1
Q7Z2X4	NP_001317086.1
Q7Z2X4	NP_060403.3
Q15116	NP_005009.2
O43924	NP_001277947.1
O43924	NP_002592.1
Q9H2J4	NP_076970.1
Q0ZLH3	NP_001036167.1
O75159	NP_054730.1
O75159	NP_659198.1
Q9C0K7	NP_001193793.1
Q9C0K7	NP_061041.2
Q9C0K7	XP_016859927.1
Q658P3	NP_001008410.1
Q658P3	NP_060704.2
Q658P3	NP_619543.2
Q658P3	NP_878919.2
Q658P3	XP_006712677.1
Q658P3	XP_006712678.1
Q658P3	XP_011509705.1
Q9NRP7	NP_001230242.1
Q9NRP7	NP_056505.2
Q9NRP7	XP_005246521.1
Q9NRP7	XP_016859293.1
P15313	NP_001683.2
Q8NEY4	NP_001034451.1
Q8NEY4	NP_653184.2
Q8NEY4	XP_016859234.1
Q8NBZ7	NP_001240804.1
Q8NBZ7	NP_001240805.1
Q8NBZ7	NP_079352.2
Q8NBZ7	XP_016860503.1
Q96A05	NP_001304992.1
Q96A05	XP_005264690.1
Q96A05	XP_005264691.1
Q96A05	XP_011531450.1
Q96A05	XP_011531451.1
Q96A05	XP_011531452.1
Q96A05	XP_011531453.1
Q96A05	XP_011531454.1
Q96A05	XP_011531455.1
Q96A05	XP_016860714.1
Q96A05	XP_016860715.1
Q8N565	NP_060470.2
P20929	NP_004534.2
Q6S8J3	NP_001077007.1
Q6S8J3	XP_016859650.1
A5A3E0	NP_001093241.1
Q6ZMI0	NP_001129101.1
Q6ZMI0	NP_001180404.1
Q6ZMI0	NP_694539.1
P23760	NP_000429.2
P23760	NP_001120838.1
P23760	NP_039230.1
P23760	NP_852122.1
P23760	NP_852123.1
P23760	NP_852124.1
P23760	NP_852125.1
P23760	NP_852126.1
Q9H0T7	NP_071894.1
P29558	NP_002888.1
P29558	NP_058520.1
P62820	NP_004152.1
P62820	NP_056358.1
Q70E73	NP_976241.1
Q70E73	NP_998754.1
Q9HBH5	NP_065956.1
Q9H0N0	NP_115520.2
Q53S08	NP_001071105.1
Q6ZP01	NP_001073973.2
Q6ZP01	XP_011509457.1
A6NKT7	NP_001137485.1
P05976	NP_524144.1
P05976	NP_524146.1
Q9Y289	NP_066918.2
Q9Y289	XP_006712191.1
Q9Y289	XP_006712192.1
Q9Y289	XP_006712193.1
Q9NZC9	NP_001120679.1
Q9NZC9	NP_054859.2
Q9NZC9	XP_005246688.1
Q9NZC9	XP_005246689.1
Q8TD22	NP_653180.1
Q9C0C4	NP_060259.4
Q9C0C4	XP_011509680.1
Q9C0C4	XP_011509681.1
Q9C0C4	XP_011509682.1
Q9C0C4	XP_011509683.1
Q9C0C4	XP_011509684.1
Q9C0C4	XP_011509685.1
O95754	NP_001258590.1
O95754	NP_001258591.1
O95754	NP_004254.2
Q96HL8	NP_001153069.1
Q96HL8	NP_001269611.1
Q96HL8	NP_001269616.1
Q96HL8	NP_056492.2
Q92765	NP_001454.2
Q9BYV2	NP_115935.3
Q9BYV2	NP_912730.2
O60296	NP_055864.2
O60296	XP_011509992.1
Q92519	NP_067675.1
P31483	NP_071320.2
P31483	NP_071505.2
Q86X19	NP_938017.2
Q86V40	NP_001074293.1
Q86V40	NP_001263982.1
Q86V40	NP_001294907.1
P47974	NP_008818.3
Q6ZSC3	NP_940959.1
Q8NC44	NP_077269.3
Q8WXG1	NP_542388.2
Q8WXG1	XP_011508716.1
P82675	NP_114108.1
P82933	NP_872578.1
Q9BST9	NP_001015055.1
Q9BST9	NP_001015056.1
Q9BST9	NP_149035.1
Q9BST9	XP_016860124.1
Q6ZNE9	NP_940885.2
Q6ZNE9	XP_011509316.1
Q6ZNE9	XP_016859385.1
Q16236	NP_001138884.1
Q16236	NP_001138885.1
Q16236	NP_001300829.1
Q16236	NP_001300830.1
Q16236	NP_006155.2
Q9HC10	NP_001274418.1
Q9HC10	NP_004793.2
Q9HC10	NP_919224.1
Q9HC10	NP_919303.1
Q9HC10	NP_919304.1
Q9BSG0	NP_115695.1
P50876	NP_055561.2
P50876	XP_005246257.1
P50876	XP_005246259.1
P50876	XP_016860885.1
P50876	XP_016860886.1
Q8N755	NP_001269639.1
Q8N755	NP_001269640.1
Q8N755	NP_001269641.1
Q8N755	NP_689604.1
O75533	NP_036565.2
Q8TER0	NP_001073906.1
Q9BSF0	NP_001035984.1
Q9BSF0	NP_001035985.1
Q9BSF0	NP_001035986.1
Q9BSF0	NP_115697.2
