From	To
O14598	ENSG00000129862
O14598	ENSG00000129864
O14599	ENSG00000183753
O14599	ENSG00000185894
O14599	ENSG00000183795
O14607	ENSG00000183878
P0DJD3	ENSG00000234414
A6NDE4	ENSG00000242875
P0C7P1	ENSG00000244395
A6NEQ0	ENSG00000242389
Q15415	ENSG00000226941
Q15415	ENSG00000169800
Q99218	ENSG00000099721
Q9BY66	ENSG00000012817
Q9NQZ3	ENSG00000188120
Q13117	ENSG00000205944
Q9Y6F7	ENSG00000182415
Q9Y6F7	ENSG00000129873
O15523	ENSG00000067048
Q96LI6	ENSG00000169953
Q96LI6	ENSG00000172468
P22090	ENSG00000129824
Q8TD47	ENSG00000280969
Q05066	ENSG00000184895
O14603	ENSG00000169789
O14603	ENSG00000169807
O14603	ENSG00000169763
P0CW01	ENSG00000236424
Q9BQ87	ENSG00000092377
Q01534	ENSG00000258992
Q8IUE0	ENSG00000176679
O14604	ENSG00000154620
P08048	ENSG00000067646
P0CW00	ENSG00000229549
P0CV98	ENSG00000228927
O00507	ENSG00000114374
A0A494C1R9	ENSG00000238074
A6NKD2	ENSG00000168757
Q9BZA8	ENSG00000099715
P0CV99	ENSG00000233803
Q8NFZ3	ENSG00000165246
Q86SG3	ENSG00000205916
O14602	ENSG00000198692
Q9NR90	ENSG00000187191
Q9Y6F8	ENSG00000172288
Q9Y6F8	ENSG00000172352
A0A804HKV4	ENSG00000205916
E7EU38	ENSG00000205916
A0A087X2I9	ENSG00000183878
A0A0A0MSR9	ENSG00000188120
E7ENA5	ENSG00000205916
E7ENA6	ENSG00000205944
J3KPK3	ENSG00000242389
C9JEH7	ENSG00000129824
F5H8B4	ENSG00000183878
A0A096LPD8	ENSG00000183878
A0A1W2PPS3	ENSG00000233803
A6NGL4	ENSG00000229549
C9JQM1	ENSG00000067646
A0A8C8KHL4	ENSG00000183878
A0A087WUC5	ENSG00000099715
H0Y7G6	ENSG00000165246
A0A0A0MSS9	ENSG00000205916
A0A804HHT1	ENSG00000183878
C9JPU3	ENSG00000168757
A0A2R8YDT7	ENSG00000165246
A0A087X0Y2	ENSG00000183878
I3L0B6	ENSG00000205944
C9J8G5	ENSG00000067048
A6NDJ3	ENSG00000229549
A6NEC3	ENSG00000233803
A0A087WSY7	ENSG00000228927
H7C2M9	ENSG00000114374
A6NMU8	ENSG00000165246
E9PFH2	ENSG00000012817
J3KQ82	ENSG00000169800
H7BZF9	ENSG00000012817
C9JGA3	ENSG00000012817
A0A494C153	ENSG00000092377
A0A804HJV1	ENSG00000183878
A6NJH9	ENSG00000198692
F5GWV3	ENSG00000183878
A0A140T8Y1	ENSG00000205916
A0A804HKG5	ENSG00000183878
A6NCS7	ENSG00000183878
A6NGT6	ENSG00000168757
F2Z2I4	ENSG00000228927
F2Z2I4	ENSG00000236424
E7EU39	ENSG00000205944
E7EU39	ENSG00000205916
E7ERQ6	ENSG00000187191
F5H3N7	ENSG00000183878
E7ETR3	ENSG00000187191
R4GMN0	ENSG00000185894
R4GMN0	ENSG00000183753
R4GMN0	ENSG00000183795
A0A804HL26	ENSG00000183878
A0A804HI49	ENSG00000183878
F2Z2U1	ENSG00000242389
F2Z2U1	ENSG00000234414
F2Z2U1	ENSG00000242875
F2Z2U1	ENSG00000244395
E9PBY2	ENSG00000205944
A0A087X248	ENSG00000183878
C9J081	ENSG00000067048
B4DHI3	ENSG00000165246
