From	To
O14598	NP_004670.1
O14598	NP_870996.1
O14599	NP_001002760.1
O14599	NP_001002761.1
O14599	NP_004669.2
O14607	NP_001245181.1
O14607	NP_001245183.1
O14607	NP_009056.3
O14607	NP_872600.1
O14607	NP_872601.1
P0DJD3	NP_001307873.1
P0DJD3	NP_001307874.1
P0DJD3	NP_005049.1
P0DJD3	XP_011529792.1
A6NDE4	NP_001006121.1
P0C7P1	NP_001006120.2
P0C7P1	NP_001307878.1
P0C7P1	XP_011529788.1
A6NEQ0	NP_001006118.2
Q15415	NP_001006117.2
Q15415	NP_001290339.1
Q15415	NP_689798.1
Q99218	NP_001134.1
Q99218	XP_016885531.1
Q9BY66	NP_001140177.1
Q9BY66	NP_001140178.1
Q9BY66	NP_004644.2
Q9NQZ3	NP_004072.3
Q13117	NP_001005785.1
Q13117	NP_001005786.2
Q13117	NP_065096.2
Q9Y6F7	NP_001001722.1
Q9Y6F7	NP_004816.1
O15523	NP_001116137.1
O15523	NP_001289481.1
O15523	NP_004651.2
Q96LI6	NP_001001877.1
Q96LI6	NP_149099.2
Q96LI6	NP_689797.1
Q96LI6	NP_714927.1
Q96LI6	XP_016885520.1
P22090	NP_000999.1
Q8TD47	NP_001034656.1
Q05066	NP_003131.1
O14603	NP_001002758.1
O14603	NP_004667.2
O14603	XP_016885577.1
P0CW01	NP_001071165.2
P0CW01	NP_001269398.1
Q9BQ87	NP_150600.1
Q9BQ87	NP_599020.1
Q9BQ87	NP_599021.1
Q01534	NP_001071165.2
Q01534	NP_001184171.1
Q01534	NP_001269398.1
Q01534	NP_003299.2
Q8IUE0	NP_631960.1
O14604	NP_004193.1
P08048	NP_001138747.1
P08048	NP_001138748.1
P08048	NP_003402.2
P08048	XP_005262627.1
P08048	XP_016885564.1
P08048	XP_016885566.1
P0CW00	NP_001230650.1
P0CV98	NP_001071165.2
P0CV98	NP_001269398.1
O00507	NP_004645.2
A6NKD2	NP_072095.2
Q9BZA8	NP_001265548.1
Q9BZA8	NP_116753.1
Q9BZA8	NP_116754.1
Q9BZA8	NP_116755.1
Q9BZA8	XP_016885571.1
P0CV99	NP_001157943.1
Q8NFZ3	NP_001157710.1
Q8NFZ3	NP_001193779.1
Q8NFZ3	NP_055708.3
Q8NFZ3	XP_016885523.1
Q8NFZ3	XP_016885524.1
Q8NFZ3	XP_016885525.1
Q8NFZ3	XP_016885526.1
Q8NFZ3	XP_016885527.1
Q8NFZ3	XP_016885529.1
Q8NFZ3	XP_016885530.1
Q86SG3	NP_001005375.1
Q86SG3	NP_065153.1
O14602	NP_001265541.1
O14602	NP_004672.2
Q9NR90	NP_065097.2
Q9Y6F8	NP_001003894.1
Q9Y6F8	NP_001003895.1
Q9Y6F8	NP_004671.1
Q9Y6F8	NP_733841.1
A0A804HKV4	XP_005262659.1
A0A087X2I9	NP_001245195.1
J3KPK3	XP_011529795.1
F5H8B4	NP_001245178.1
A0A096LPD8	NP_001245185.1
A6NGL4	XP_005272801.1
A0A087X0Y2	NP_001245187.1
A6NEC3	XP_005272800.1
J3KQ82	XP_011529802.1
A6NJH9	NP_001265541.1
F5GWV3	NP_001245190.1
A6NGT6	XP_005262626.1
F2Z2I4	NP_001307891.1
F2Z2I4	XP_005272799.1
E7EU39	NP_001005786.2
F5H3N7	NP_001245180.1
A0A087X248	NP_001245194.1
B4DHI3	XP_006724937.1
B4DHI3	XP_011529726.1
B4DHI3	XP_011529727.1
B4DHI3	XP_011529728.1
B4DHI3	XP_011529729.1
B4DHI3	XP_011529730.1
B4DHI3	XP_011529731.1
B4DHI3	XP_011529732.1
