From	To
P51451	ENSG00000136573
Q9BUK0	ENSG00000170791
Q96ES6	ENSG00000167700
Q96JY6	ENSG00000120913
Q9P0J1	ENSG00000164951
Q8WWR9	ENSG00000168333
Q9NWQ8	ENSG00000076641
P01210	ENSG00000181195
Q96S96	ENSG00000134020
Q15154	ENSG00000078674
Q96MG8	ENSG00000168300
Q13946	ENSG00000205268
Q8TC59	ENSG00000197181
Q92561	ENSG00000168490
O43692	ENSG00000137558
Q96QB1	ENSG00000164741
P21281	ENSG00000147416
Q9Y277	ENSG00000078668
P21283	ENSG00000155097
Q8N8Y2	ENSG00000147614
Q9UI12	ENSG00000047249
Q9Y216	ENSG00000003987
A8MW92	ENSG00000129292
P61019	ENSG00000104388
Q8N0T1	ENSG00000176731
Q93062	ENSG00000157110
Q8N3Y7	ENSG00000170786
Q8TCX5	ENSG00000158106
O75410	ENSG00000147526
A6NCS4	ENSG00000180053
Q8TE54	ENSG00000147606
Q9NSN8	ENSG00000147481
P0DP57	ENSG00000283992
Q9H5K3	ENSG00000185900
Q9BYV6	ENSG00000147573
Q15629	ENSG00000067167
Q96RU8	ENSG00000173334
Q70Z35	ENSG00000046889
Q6UXX9	ENSG00000147655
Q9Y2Q9	ENSG00000147586
Q6UXB3	ENSG00000197353
P28328	ENSG00000164751
P57768	ENSG00000104497
P55000	ENSG00000126233
Q96K19	ENSG00000120925
O75365	ENSG00000184489
O75365	ENSG00000275575
O95271	ENSG00000173273
Q96KB5	ENSG00000168078
P00750	ENSG00000104368
Q9BRT9	ENSG00000147536
Q9BYD1	ENSG00000172172
Q6PDA7	ENSG00000178287
Q53EQ6	ENSG00000278016
Q53EQ6	ENSG00000179886
P52758	ENSG00000132541
O43353	ENSG00000104312
Q9NUL3	ENSG00000040341
O75762	ENSG00000104321
P05423	ENSG00000168495
P06850	ENSG00000147571
P60228	ENSG00000104408
Q8N145	ENSG00000168481
Q9BXY0	ENSG00000198042
Q969L2	ENSG00000147676
Q05707	ENSG00000187955
Q9NUQ9	ENSG00000153310
Q9H9T3	ENSG00000134014
Q6ISB3	ENSG00000083307
Q50LG9	ENSG00000254402
Q9Y561	ENSG00000147650
Q6ZQW0	ENSG00000188676
O75564	ENSG00000234616
Q92794	ENSG00000083168
Q15822	ENSG00000120903
Q8NHS2	ENSG00000169154
Q3MIX3	ENSG00000173137
Q3MIX3	ENSG00000285451
Q6PIU1	ENSG00000164794
Q8NFJ8	ENSG00000180828
Q86WR0	ENSG00000147419
Q9BTY7	ENSG00000235173
Q96KN1	ENSG00000168672
O15116	ENSG00000175324
Q15048	ENSG00000160959
Q92819	ENSG00000170961
Q8TB45	ENSG00000155792
Q16555	ENSG00000092964
Q9NPA8	ENSG00000120533
P58107	ENSG00000261150
Q96CF2	ENSG00000164695
O94830	ENSG00000085788
Q13630	ENSG00000104522
Q13630	ENSG00000278243
Q99678	ENSG00000204882
Q99678	ENSG00000275181
P14902	ENSG00000131203
Q7L273	ENSG00000104756
O95214	ENSG00000104660
Q8TB36	ENSG00000104381
Q8IV16	ENSG00000277494
Q9GZQ3	ENSG00000170619
O00399	ENSG00000104671
Q30KP9	ENSG00000205883
Q30KP9	ENSG00000285365
O15372	ENSG00000147677
A8MXQ7	ENSG00000203499
Q8IZN7	ENSG00000186572
Q8IZN7	ENSG00000198129
Q8IZN7	ENSG00000277530
Q8IZN7	ENSG00000285432
Q8IZN7	ENSG00000284979
Q01524	ENSG00000164822
Q01524	ENSG00000285136
Q8N531	ENSG00000182325
Q9NVR2	ENSG00000104613
O43593	ENSG00000168453
P63151	ENSG00000221914
Q15389	ENSG00000154188
P19099	ENSG00000179142
Q8WUX9	ENSG00000147457
Q5HYA8	ENSG00000164953
Q86SE8	ENSG00000158806
O75881	ENSG00000172817
Q4QY38	ENSG00000205882
Q4QY38	ENSG00000284754
Q8N104	ENSG00000186579
Q8N104	ENSG00000187082
Q8N104	ENSG00000275794
Q8N104	ENSG00000285617
P53677	ENSG00000070718
Q9NQY0	ENSG00000147439
Q01523	ENSG00000164816
Q01523	ENSG00000285251
P37268	ENSG00000079459
Q9NV88	ENSG00000104299
A8MYU2	ENSG00000215262
P07948	ENSG00000254087
Q68CP4	ENSG00000165102
C9JL84	ENSG00000132297
Q92953	ENSG00000182674
Q9NPC2	ENSG00000169427
P0DP58	ENSG00000180155
Q14990	ENSG00000155087
Q8TCJ0	ENSG00000147364
Q6P4F1	ENSG00000172728
Q53H82	ENSG00000147592
Q8NEM0	ENSG00000147316
Q8NEM0	ENSG00000285262
Q9H841	ENSG00000104361
P48454	ENSG00000120910
P15090	ENSG00000170323
Q2WGJ9	ENSG00000214814
Q96DY7	ENSG00000172167
P21757	ENSG00000038945
Q8N987	ENSG00000123119
P11245	ENSG00000156006
Q14137	ENSG00000261236
Q14137	ENSG00000285301
Q6ZMK1	ENSG00000187954
Q9Y646	ENSG00000104324
P51512	ENSG00000156103
Q6P047	ENSG00000171060
Q69YH5	ENSG00000184661
Q08495	ENSG00000158856
Q9UBY8	ENSG00000182372
Q9UBY8	ENSG00000278220
Q9BYG8	ENSG00000147697
P83105	ENSG00000169495
Q7Z429	ENSG00000178719
Q9Y4K0	ENSG00000134013
Q8WXS3	ENSG00000164929
Q9ULS6	ENSG00000156486
Q330K2	ENSG00000156170
Q8N1Q1	ENSG00000185015
Q96K31	ENSG00000189376
P60022	ENSG00000164825
P60022	ENSG00000284881
Q8IV48	ENSG00000104626
Q56NI9	ENSG00000171320
Q92636	ENSG00000035681
Q8WW38	ENSG00000169946
P55040	ENSG00000164949
Q9Y6Y9	ENSG00000154589
Q9NX62	ENSG00000104331
Q96E29	ENSG00000156469
O94819	ENSG00000176595
O94819	ENSG00000273645
Q13118	ENSG00000155090
Q6UXT8	ENSG00000196711
O14514	ENSG00000181790
Q9UBL3	ENSG00000129691
O60238	ENSG00000104765
P05937	ENSG00000104327
Q9P2D1	ENSG00000171316
Q49A92	ENSG00000165084
O75907	ENSG00000185000
O75907	ENSG00000285482
Q6NT76	ENSG00000147421
Q96PZ7	ENSG00000183117
Q92905	ENSG00000121022
Q86UY5	ENSG00000147689
Q6ZRV2	ENSG00000180921
Q6ZRV2	ENSG00000273889
P0C5J1	ENSG00000145002
A6NKC0	ENSG00000285975
A6NJQ4	ENSG00000285937
A6NNJ1	ENSG00000285607
A6NDY2	ENSG00000285950
Q13822	ENSG00000136960
P0C7W9	ENSG00000285814
A6NEW6	ENSG00000285620
A6NEW6	ENSG00000285720
A6NE21	ENSG00000285913
A6NE21	ENSG00000285657
A8MWA6	ENSG00000285687
A8MXZ1	ENSG00000285765
Q658Y4	ENSG00000176853
Q9H295	ENSG00000164935
Q96KS9	ENSG00000154319
O94905	ENSG00000147475
Q9H7E9	ENSG00000182307
P49716	ENSG00000221869
P09669	ENSG00000164919
Q0Z7S8	ENSG00000205186
Q16394	ENSG00000182197
O75593	ENSG00000160973
Q15825	ENSG00000147434
O15123	ENSG00000091879
P27216	ENSG00000104537
Q06889	ENSG00000179388
Q4G163	ENSG00000156509
Q8IX29	ENSG00000214050
